iter	Passed	Remaining
391	6072	9418
392	6088	9403
393	6103	9387
394	6117	9369
395	6131	9352
396	6147	9337
397	6162	9320
398	6177	9305
399	6193	9290
400	6208	9273
401	6224	9259
402	6239	9242
403	6254	9226
404	6268	9209
405	6283	9192
406	6298	9176
407	6313	9160
408	6327	9143
409	6341	9125
410	6356	9109
411	6371	9093
412	6386	9076
413	6401	9061
414	6416	9045
415	6430	9027
416	6446	9012
417	6461	8997
418	6477	8982
419	6491	8964
420	6507	8950
421	6521	8932
422	6536	8916
423	6551	8899
424	6566	8884
425	6581	8867
426	6595	8850
427	6611	8836
428	6627	8820
429	6642	8805
430	6657	8789
431	6672	8773
432	6688	8757
433	6704	8743
434	6719	8728
435	6736	8714
436	6752	8699
437	6767	8683
438	6782	8667
439	6798	8652
440	6814	8637
441	6829	8622
442	6844	8605
443	6858	8588
444	6874	8573
445	6889	8557
446	6904	8542
447	6922	8529
448	6940	8516
449	6956	8502
450	6973	8489
451	6989	8473
452	7004	8457
453	7019	8442
454	7036	8428
455	7052	8413
456	7068	8398
457	7084	8383
458	7100	8369
459	7116	8353
460	7130	8337
461	7147	8323
462	7161	8305
463	7176	8290
464	7192	8275
465	7207	8259
466	7222	8243
467	7238	8227
468	7253	8211
469	7267	8195
470	7283	8180
471	7298	8164
472	7313	8148
473	7327	8131
474	7341	8114
475	7356	8098
476	7372	8082
477	7387	8067
478	7403	8052
479	7418	8036
480	7434	8022
481	7449	8006
482	7464	7989
483	7479	7973
484	7495	7958
485	7510	7942
486	7525	7927
487	7541	7912
488	7556	7896
489	7572	7881
490	7587	7865
491	7603	7850
492	7618	7834
493	7634	7820
494	7650	7805
495	7666	7789
496	7679	7772
497	7694	7756
498	7709	7740
499	7725	7725
500	7739	7708
501	7755	7693
502	7771	7678
503	7786	7663
504	7801	7646
505	7816	7631
506	7830	7614
507	7846	7599
508	7859	7581
509	7874	7566
510	7890	7550
511	7905	7535
512	7920	7518
513	7934	7502
514	7949	7486
515	7964	7470
516	7980	7455
517	7995	7439
518	8011	7425
519	8026	7409
520	8042	7394
521	8058	7379
522	8073	7363
523	8089	7348
