iter	Logloss
0	0.688800032
1	0.6847960834
2	0.6812966362
3	0.6778079026
4	0.6745681881
5	0.6719351092
6	0.6695033804
7	0.6670208699
8	0.6647892617
9	0.6627782656
10	0.6608596041
11	0.659124234
12	0.6575189237
13	0.6559466314
14	0.6544847511
15	0.6532358544
16	0.6520086021
17	0.6509498209
18	0.6496824542
19	0.6484436629
20	0.6474923951
21	0.6466149914
22	0.6457095932
23	0.6448650927
24	0.6440796057
25	0.6433908156
26	0.6426536887
27	0.6420439499
28	0.6413940745
29	0.6406866867
30	0.63996837
31	0.6392784112
32	0.6388463036
33	0.6382643945
34	0.6377187807
35	0.6371738185
36	0.6366886966
37	0.6360886817
38	0.6356744088
39	0.6352814743
40	0.6349277839
41	0.6345300802
42	0.6342298317
43	0.6338813524
44	0.6334861692
45	0.633085638
46	0.6327735043
47	0.6325366503
48	0.6322192025
49	0.6318350579
50	0.6315351184
51	0.6311814971
52	0.6309127489
53	0.6306405646
54	0.6303352996
55	0.630031423
56	0.6297240966
57	0.62944213
58	0.6291181195
59	0.628827321
60	0.6285306642
61	0.6282064622
62	0.6280016535
63	0.6277780295
64	0.6275806243
65	0.6273196493
66	0.6270537208
67	0.6267805967
68	0.6265871117
69	0.6263506038
70	0.6260575463
71	0.6258228741
72	0.6255901953
73	0.6253680302
74	0.6251398752
75	0.6249115731
76	0.6246522879
77	0.6244726501
78	0.6242468486
79	0.6240190371
80	0.6238388
81	0.6236569669
82	0.6235027863
83	0.6233287243
84	0.6231752145
85	0.6229609054
86	0.6227794588
87	0.6225942008
88	0.6224049375
89	0.6221961585
90	0.622020814
91	0.6218591854
92	0.6217140442
93	0.6215731294
94	0.6213862142
95	0.6212367471
96	0.6210754583
97	0.6208955172
98	0.6207142897
99	0.6205803107
100	0.6203827719
101	0.6202616984
102	0.6200743956
103	0.6198935104
104	0.6197809909
105	0.6196247688
106	0.6194725559
107	0.6193292079
108	0.6191575851
109	0.6190384137
110	0.6188574566
111	0.6186938316
112	0.6185059171
113	0.6183435368
114	0.6181833528
115	0.618050115
116	0.6179212949
117	0.6177648392
118	0.6176289527
119	0.617475992
120	0.617331408
121	0.6171975935
122	0.6170750441
123	0.616935972
124	0.6168090979
125	0.6166771937
126	0.6165114661
127	0.6164068115
128	0.6162481362
129	0.6160989863
130	0.6159653931
131	0.6157848477
132	0.6156195814
133	0.6154935045
134	0.6153411823
135	0.6152116453
136	0.6150912475
137	0.6149777332
138	0.6148296893
139	0.6147116084
140	0.6145653731
141	0.6143991308
142	0.6142852396
143	0.6141894881
144	0.6140496686
145	0.61384538
146	0.613716224
147	0.6135950287
148	0.6134462923
149	0.6132879444
150	0.6131218192
151	0.6130206631
152	0.6128908087
153	0.6127752426
154	0.6126446305
155	0.6125586966
156	0.6124463026
157	0.612326878
158	0.6122158658
159	0.6120933856
160	0.6119467352
161	0.6118149395
162	0.6117095158
163	0.6115747499
164	0.6114672169
165	0.6113411985
166	0.6112015728
167	0.611053665
168	0.6109499081
169	0.6108559326
170	0.6107370943
171	0.6106110701
172	0.6104623609
173	0.6103344538
174	0.610213903
175	0.610109633
176	0.6100017555
177	0.6098820716
178	0.609776957
179	0.6096572559
180	0.6095728654
181	0.6094457422
182	0.609300635
183	0.6091861837
184	0.6090598546
185	0.6089713283
186	0.6088343777
187	0.6087197176
188	0.6086173347
189	0.6085028103
190	0.6084007992
191	0.6083013194
192	0.6081976602
193	0.6081046586
194	0.6080007393
195	0.6078966037
196	0.607765156
197	0.6076358502
198	0.607513413
199	0.6073828711
200	0.6072676279
201	0.6071669799
202	0.60702322
203	0.6069109729
204	0.6068137406
205	0.6067140194
206	0.6066027397
207	0.6064940338
208	0.6063977486
209	0.6062803523
210	0.6061668795
211	0.6060496287
212	0.6059345714
213	0.6058142424
214	0.6056760662
215	0.605552568
216	0.6054323661
217	0.6053361991
218	0.6052121094
219	0.6050734777
220	0.6049184127
221	0.60476357
222	0.6046370256
223	0.6045161257
224	0.6043983972
225	0.6042763097
226	0.6041547084
227	0.6040192003
228	0.6039030818
229	0.6037814517
230	0.6036802169
231	0.6035737736
232	0.6034478907
233	0.603335153
234	0.6031940509
235	0.6030692638
236	0.602944376
237	0.6028364889
238	0.6027014186
239	0.602567177
240	0.6024607875
241	0.6023300843
242	0.6021947046
243	0.6020709101
244	0.6019207214
245	0.6017469606
246	0.60159573
247	0.6015031205
248	0.601398234
249	0.6011959748
250	0.6010542756
251	0.6009200531
252	0.6007724544
253	0.6006341864
254	0.6004764279
255	0.6003593167
256	0.6002239361
257	0.6001124675
258	0.599959795
259	0.5997812179
260	0.5996428802
261	0.5995103954
262	0.5993686925
263	0.5992413996
264	0.5990998953
265	0.5989539619
266	0.5988100594
267	0.5986814867
268	0.5985300243
269	0.5983894638
270	0.5982345123
271	0.5980836821
272	0.5979343896
273	0.5977972518
274	0.5976274015
275	0.5974559897
276	0.5972976395
277	0.5971783357
278	0.5970270935
279	0.5968841926
280	0.5967152465
281	0.5965786597
282	0.5964719291
283	0.5963204239
284	0.5961489791
285	0.5960171163
286	0.5958684772
287	0.5957287846
288	0.5955719138
289	0.5953576761
290	0.5952057843
291	0.5950619649
292	0.594886873
293	0.5947354505
294	0.5945625803
295	0.5944222751
296	0.5942437984
297	0.5940805213
298	0.5939588347
299	0.5937964669
300	0.5936435235
301	0.5934624467
302	0.5932998289
303	0.5931335284
304	0.5929548107
305	0.5927896579
306	0.5926400434
307	0.5924832877
308	0.5923566747
309	0.5922182967
310	0.5920788915
311	0.5919653516
312	0.5918174761
313	0.5916825574
314	0.5915560184
315	0.5914254301
316	0.5912697327
317	0.5911340774
318	0.5909815188
319	0.5908396185
320	0.5906806874
321	0.590526557
