iter	Logloss
322	0.5904162923
323	0.5902595689
324	0.5901161941
325	0.5899704872
326	0.5898487051
327	0.589720956
328	0.589562272
329	0.5894392712
330	0.5892809085
331	0.589128695
332	0.5889689507
333	0.5888652148
334	0.5887047643
335	0.5885844997
336	0.5884462989
337	0.5883052451
338	0.5881955704
339	0.5880408037
340	0.58793189
341	0.5877759735
342	0.5876383794
343	0.587499445
344	0.5873571098
345	0.5871993586
346	0.5870639267
347	0.5869352825
348	0.5867757409
349	0.586608612
350	0.5864409691
351	0.5862848783
352	0.5861381176
353	0.5859979548
354	0.585844492
355	0.5856888426
356	0.5855676996
357	0.5854226735
358	0.5853080121
359	0.585179126
360	0.5850140401
361	0.5848548986
362	0.5846898253
363	0.5845544931
364	0.5844120319
365	0.5842764984
366	0.5841328902
367	0.5840275266
368	0.5838821687
369	0.5837189539
370	0.5835741377
371	0.5834282875
372	0.5832795413
373	0.5831630103
374	0.583037956
375	0.5829101922
376	0.5827270069
377	0.5825789197
378	0.5824744996
379	0.5823421259
380	0.5822063119
381	0.5820740815
382	0.5819349033
383	0.5817944518
384	0.5816692249
385	0.5815312383
386	0.5814192544
387	0.5812611366
388	0.5811134255
389	0.5809910505
390	0.5808569283
391	0.5807200107
392	0.580579695
393	0.5804450504
394	0.5803161618
395	0.5801912554
396	0.580052202
397	0.5799353819
398	0.5798108502
399	0.5796453307
400	0.5795041251
401	0.5793577989
402	0.5792137652
403	0.5790640902
404	0.5789448991
405	0.5788396577
406	0.578704503
407	0.5785623115
408	0.5784239149
409	0.5782960743
410	0.5781853594
411	0.5780791536
412	0.5779381301
413	0.5778046436
414	0.5777006061
415	0.5775914086
416	0.5774414782
417	0.577324088
418	0.5772027393
419	0.5770612413
420	0.5769310458
421	0.5767781756
422	0.5766507314
423	0.5764977189
424	0.576359651
425	0.5762078878
426	0.5760847595
427	0.5759374961
428	0.5757947646
429	0.5756570783
430	0.5755012596
431	0.5753588625
432	0.5752508907
433	0.5751064565
434	0.5749462943
435	0.5748257988
436	0.5746830252
437	0.5745736284
438	0.5744304689
439	0.5742749668
440	0.5741371606
441	0.5740066288
442	0.573885343
443	0.573768232
444	0.5736539049
445	0.5735255313
446	0.5733841491
447	0.5732292496
448	0.5730948591
449	0.5729340832
450	0.5728189437
451	0.5727002407
452	0.5725877036
453	0.5724377022
454	0.5723118048
455	0.5721814431
456	0.5720528963
457	0.5719138307
458	0.5717701143
459	0.5716392082
460	0.5714872052
461	0.5713440871
462	0.5712114809
463	0.5710527455
464	0.5709223482
465	0.5707985049
466	0.5706711329
467	0.5705697103
468	0.5704519135
469	0.5703119856
470	0.5701868503
471	0.5700469747
472	0.5698985878
473	0.5697865511
474	0.5696297001
475	0.5695354202
476	0.5693849875
477	0.5692299224
478	0.5690913325
479	0.5689446409
480	0.5687904842
481	0.5686593855
482	0.5685328548
483	0.5683873419
484	0.568251248
485	0.5681234434
486	0.5679948506
487	0.567837967
488	0.5677241822
489	0.5675963865
490	0.5674575521
491	0.5673235465
492	0.5671855639
493	0.5670587422
494	0.5669260387
495	0.5668094744
496	0.5666895807
497	0.5665705536
498	0.5664497377
499	0.5663425025
500	0.5662233813
501	0.566082006
502	0.5659564609
503	0.5658376237
504	0.5657047887
505	0.5655846803
506	0.5654899031
507	0.5653622188
508	0.5652118362
509	0.5650706112
510	0.5649650656
511	0.5648357058
512	0.5647076197
513	0.5646071036
514	0.5644866673
515	0.5643566741
516	0.5642240312
517	0.564117662
518	0.563989145
519	0.563862203
520	0.5637342579
521	0.563605211
522	0.5634856005
523	0.5633715849
